driver,team,qualifying_position,gap_to_pole,quali_stage
VER,Red Bull Racing,1.0,0.0,3
PIA,McLaren,2.0,0.5810000000000031,3
NOR,McLaren,3.0,0.6159999999999997,3
LEC,Ferrari,4.0,0.6650000000000063,3
PER,Red Bull Racing,5.0,0.7730000000000103,3
SAI,Ferrari,6.0,0.972999999999999,3
HAM,Mercedes,7.0,1.031000000000006,3
RUS,Mercedes,8.0,1.3419999999999987,3
TSU,AlphaTauri,9.0,1.426000000000002,3
ALO,Aston Martin,10.0,1.683000000000007,3
LAW,AlphaTauri,11.0,1.6310000000000002,2
GAS,Alpine,12.0,1.632000000000005,2
ALB,Williams,13.0,1.6600000000000108,2
OCO,Alpine,14.0,1.7090000000000032,2
MAG,Haas F1 Team,15.0,1.788000000000011,2
BOT,Alfa Romeo,16.0,2.1720000000000113,1
STR,Aston Martin,17.0,2.304000000000002,1
HUL,Haas F1 Team,18.0,2.4220000000000113,1
ZHO,Alfa Romeo,19.0,2.521000000000001,1
SAR,Williams,20.0,,1
