driver,team,position,status,dnf_flag
VER,Red Bull Racing,1.0,finished,0
NOR,McLaren,2.0,finished,0
ALO,Aston Martin,3.0,finished,0
PER,Red Bull Racing,4.0,finished,0
STR,Aston Martin,5.0,finished,0
SAI,Ferrari,6.0,finished,0
GAS,Alpine,7.0,finished,0
HAM,Mercedes,8.0,finished,0
TSU,AlphaTauri,9.0,finished,0
OCO,Alpine,10.0,lapped,0
SAR,Williams,11.0,lapped,0
HUL,Haas F1 Team,12.0,lapped,0
RIC,AlphaTauri,13.0,lapped,0
PIA,McLaren,14.0,lapped,0
RUS,Mercedes,,retired,1
BOT,Alfa Romeo,,retired,1
ZHO,Alfa Romeo,,retired,1
MAG,Haas F1 Team,,retired,1
ALB,Williams,,retired,1
LEC,Ferrari,,did not start,1
